Submission ID;Respondent ID;Submitted at;First Name;Last Name;Linkedin;Phone;Email;Dietary requirements;T-shirt size;Emergency contact;Emergency contact Phone;Why do you want to be part of Tectonic 2026?;Would you be interested in taking on a volunteer role with a little more responsibility?;Introduce yourself! 🎥;Upload your CV;Are you volunteering through an organization?;What organisation?;What kind of shifts would you feel comfortable doing?;What kind of shifts would you feel comfortable doing? (Setup & Logistics);What kind of shifts would you feel comfortable doing? (Technical Support);What kind of shifts would you feel comfortable doing? (Guest Flow & Stewarding);What kind of shifts would you feel comfortable doing? (Info & Welcome);What kind of shifts would you feel comfortable doing? (Food & Drinks);What kind of shifts would you feel comfortable doing? (Runner & Flexible Support);What kind of shifts would you feel comfortable doing? (Stage & Session Support);When would you be available to help out at Tectonic?;When would you be available to help out at Tectonic? (October 20 - Morning (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 21 - Morning);When would you be available to help out at Tectonic? (October 21 - Afternoon);When would you be available to help out at Tectonic? (October 21 - Evening);When would you be available to help out at Tectonic? (October 22 - Morning (Breakdown));When would you be available to help out at Tectonic? (October 20 - Afternoon (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 20 - Evening (Hackathon or Setup) );How many shifts would you be willing to take on during Tectonic?;Where did you hear about the open positions?;Anything else you would like to share with us?;Untitled checkboxes field;Untitled checkboxes field (I agree that Tectonic may use the information provided in this form for the organisation and coordination of Tectonic 2026 and its volunteer team. Privacy policy - https://www.tectonicconf.eu/privacy-statement)
sub_0011;resp_0011;2026-08-22T16:00;Julie;Claes;https://www.linkedin.com/in/julie-claes-11;+32471247595;julie.claes11@example.com;;XL;Wout Goossens;+32483790237;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Technical Support, Info & Welcome, Stage & Session Support, Guest Flow & Stewarding;;Yes;Yes;Yes;;;Yes;October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);Yes;;;Yes;;Yes;Yes;No preference;LinkedIn;;;Yes
sub_0012;resp_0012;2026-08-22T21:00;Wout;Aerts;https://www.linkedin.com/in/wout-aerts-12;+32473597059;wout.aerts12@example.com;None;M;Julie Janssens;+32482022698;I volunteered at events before and would like to support the team.;Yes;;;Yes;Student Ghentrepreneur;Technical Support, Info & Welcome, Setup & Logistics, Runner & Flexible Support, Stage & Session Support, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;;Yes;Yes;October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;;;;Yes;Yes;Yes;1;University;;;Yes
sub_0013;resp_0013;2026-08-23T02:00;Louis;De Clercq;https://www.linkedin.com/in/louis-de-clercq-13;+32471666754;louis.declercq13@example.com;Gluten-free;S;Jules Vermeire;+32489770838;I volunteered at events before and would like to support the team.;No;;;Nope, I'm Joining Independently;;Food & Drinks, Technical Support, Setup & Logistics, Stage & Session Support, Info & Welcome, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;Yes;;Yes;October 20 - Afternoon (Hackathon or Setup), October 21 - Morning, October 21 - Evening, October 20 - Morning (Hackathon or Setup), October 21 - Afternoon;Yes;Yes;Yes;Yes;;Yes;;2;Previous volunteer;;;Yes
sub_0014;resp_0014;2026-08-23T07:00;Sophie;Vermeulen;https://www.linkedin.com/in/sophie-vermeulen-14;+32472229110;sophie.vermeulen14@example.com;Gluten-free;M;Amelie Wouters;+32483222252;I volunteered at events before and would like to support the team.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Technical Support, Guest Flow & Stewarding;;Yes;Yes;Yes;;;;October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 21 - Evening;Yes;;;Yes;;Yes;Yes;2;Student association;;;Yes
sub_0015;resp_0015;2026-08-23T12:00;Victor;Willems;https://www.linkedin.com/in/victor-willems-15;+32472737893;victor.willems15@example.com;None;M;Noah Jacobs;+32483607983;I volunteered at events before and would like to support the team.;No;;;Yes;VTK Gent;Food & Drinks, Runner & Flexible Support, Guest Flow & Stewarding;;;Yes;;Yes;Yes;;October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 21 - Afternoon;Yes;;Yes;;Yes;Yes;Yes;2;Previous volunteer;;;Yes
sub_0016;resp_0016;2026-08-23T17:00;Camille;Claes;https://www.linkedin.com/in/camille-claes-16;+32475641923;camille.claes16@example.com;;S;Camille Mertens;+32485394880;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Yes;AIESEC Ghent;Stage & Session Support, Guest Flow & Stewarding, Food & Drinks, Info & Welcome;;;Yes;Yes;Yes;;Yes;October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);Yes;;;;;Yes;Yes;4+;University;;;Yes
sub_0017;resp_0017;2026-08-23T22:00;Emma;Jacobs;https://www.linkedin.com/in/emma-jacobs-17;+32471701771;emma.jacobs17@example.com;Vegetarian;M;Lena Janssens;+32487003042;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Technical Support;;Yes;;;;Yes;;October 20 - Evening (Hackathon or Setup), October 21 - Afternoon, October 22 - Morning (Breakdown), October 21 - Morning, October 21 - Evening;;Yes;Yes;Yes;Yes;;Yes;2;Student association;;;Yes
sub_0018;resp_0018;2026-08-24T03:00;Hanne;Martens;https://www.linkedin.com/in/hanne-martens-18;+32473670896;hanne.martens18@example.com;;M;Wout Janssens;+32488896868;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;VTK Gent;Info & Welcome, Food & Drinks, Technical Support, Runner & Flexible Support, Setup & Logistics, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;Yes;Yes;;October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 21 - Afternoon, October 21 - Evening, October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;;Yes;No preference;Student association;;;Yes
sub_0019;resp_0019;2026-08-24T08:00;Victor;Goossens;https://www.linkedin.com/in/victor-goossens-19;+32479996207;victor.goossens19@example.com;Vegetarian;S;Noah Wouters;+32483995870;I volunteered at events before and would like to support the team.;Yes;;;Yes;AIESEC Ghent;Runner & Flexible Support, Technical Support, Info & Welcome;;Yes;;Yes;;Yes;;October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Afternoon, October 22 - Morning (Breakdown);Yes;;Yes;;Yes;;Yes;2;University;;;Yes
sub_0020;resp_0020;2026-08-24T13:00;Jules;De Vos;https://www.linkedin.com/in/jules-de-vos-20;+32478235969;jules.devos20@example.com;;L;Bram Vermeulen;+32486266630;I would like to help make the event run smoothly and meet new people.;No;;;Yes;Ekonomika;Guest Flow & Stewarding, Info & Welcome, Food & Drinks, Setup & Logistics, Technical Support;Yes;Yes;Yes;Yes;Yes;;;October 21 - Morning, October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 22 - Morning (Breakdown), October 20 - Afternoon (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;;3;Previous volunteer;;;Yes
sub_0021;resp_0021;2026-08-24T18:00;Jules;Vermeulen;https://www.linkedin.com/in/jules-vermeulen-21;+32477812810;jules.vermeulen21@example.com;Gluten-free;XL;Emma De Smet;+32485813613;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Yes;VTK Gent;Guest Flow & Stewarding, Food & Drinks, Technical Support;;Yes;Yes;;Yes;;;October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 21 - Morning;;Yes;;Yes;;Yes;;3;Tectonic website;;;Yes
sub_0022;resp_0022;2026-08-24T23:00;Charlotte;Verhoeven;https://www.linkedin.com/in/charlotte-verhoeven-22;+32472566777;charlotte.verhoeven22@example.com;None;L;Victor Goossens;+32484340845;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Yes;Ekonomika;Food & Drinks, Info & Welcome, Technical Support, Setup & Logistics;Yes;Yes;;Yes;Yes;;;October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;;;;Yes;Yes;Yes;1;LinkedIn;;;Yes
sub_0023;resp_0023;2026-08-25T04:00;Louis;Baert;https://www.linkedin.com/in/louis-baert-23;+32472788238;louis.baert23@example.com;Vegan;M;Lucas De Clercq;+32488793853;I would like to help make the event run smoothly and meet new people.;No;;;Nope, I'm Joining Independently;;Setup & Logistics, Info & Welcome, Runner & Flexible Support, Technical Support, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;;Yes;;October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 22 - Morning (Breakdown), October 21 - Afternoon;;Yes;Yes;Yes;Yes;;Yes;2;Tectonic website;;;Yes
sub_0024;resp_0024;2026-08-25T09:00;Marie;Verhoeven;https://www.linkedin.com/in/marie-verhoeven-24;+32478550917;marie.verhoeven24@example.com;Vegetarian;XL;Arthur Wouters;+32489745959;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;Student Ghentrepreneur;Food & Drinks, Stage & Session Support, Guest Flow & Stewarding, Info & Welcome;;;Yes;Yes;Yes;;Yes;October 20 - Afternoon (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup);Yes;;;Yes;Yes;Yes;Yes;3;Tectonic website;;;Yes
sub_0025;resp_0025;2026-08-25T14:00;Louise;De Smet;https://www.linkedin.com/in/louise-de-smet-25;+32473563646;louise.desmet25@example.com;None;S;Jules Van Damme;+32486551268;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;AIESEC Ghent;Guest Flow & Stewarding, Stage & Session Support, Food & Drinks;;;Yes;;Yes;;Yes;October 21 - Morning, October 20 - Evening (Hackathon or Setup);;Yes;;;;;Yes;1;LinkedIn;;;Yes
sub_0026;resp_0026;2026-08-25T19:00;Manon;Van Damme;https://www.linkedin.com/in/manon-van-damme-26;+32477542890;manon.vandamme26@example.com;Vegan;L;Maxime Martens;+32484700025;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;VTK Gent;Stage & Session Support, Food & Drinks, Setup & Logistics;Yes;;;;Yes;;Yes;October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Morning;Yes;Yes;;Yes;Yes;Yes;Yes;3;Tectonic website;;;Yes
sub_0027;resp_0027;2026-08-26T00:00;Louis;Peeters;https://www.linkedin.com/in/louis-peeters-27;+32472408404;louis.peeters27@example.com;Vegan;M;Wout Verhoeven;+32484048907;I would like to help make the event run smoothly and meet new people.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Stage & Session Support, Info & Welcome;;;;Yes;;Yes;Yes;October 20 - Evening (Hackathon or Setup), October 21 - Evening, October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 22 - Morning (Breakdown);Yes;Yes;;Yes;Yes;;Yes;4+;Student association;;;Yes
sub_0028;resp_0028;2026-08-26T05:00;Julie;Verhoeven;https://www.linkedin.com/in/julie-verhoeven-28;+32471873851;julie.verhoeven28@example.com;Vegetarian;M;Nina Maes;+32481675419;I would like to help make the event run smoothly and meet new people.;No;;;Nope, I'm Joining Independently;;Stage & Session Support, Info & Welcome, Guest Flow & Stewarding;;;Yes;Yes;;;Yes;October 20 - Evening (Hackathon or Setup), October 21 - Evening, October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Morning;Yes;Yes;Yes;Yes;;;Yes;2;Friend;;;Yes
sub_0029;resp_0029;2026-08-26T10:00;Thomas;Mertens;https://www.linkedin.com/in/thomas-mertens-29;+32473747534;thomas.mertens29@example.com;Vegetarian;S;Laura Peeters;+32486233774;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Runner & Flexible Support, Setup & Logistics;Yes;;;Yes;;Yes;;October 21 - Morning, October 21 - Evening, October 21 - Afternoon, October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;;;2;Friend;;;Yes
sub_0030;resp_0030;2026-08-26T15:00;Laura;Goossens;https://www.linkedin.com/in/laura-goossens-30;+32472156902;laura.goossens30@example.com;Gluten-free;L;Camille Peeters;+32488047416;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;Ekonomika;Stage & Session Support, Guest Flow & Stewarding;;;Yes;;;;Yes;October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 21 - Morning, October 21 - Afternoon;Yes;Yes;Yes;;Yes;Yes;Yes;4+;Student association;;;Yes
sub_0031;resp_0031;2026-08-26T20:00;Nina;Verhoeven;https://www.linkedin.com/in/nina-verhoeven-31;+32475118725;nina.verhoeven31@example.com;;M;Lena Verhoeven;+32485091349;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;Ekonomika;Info & Welcome, Technical Support, Food & Drinks, Guest Flow & Stewarding, Stage & Session Support;;Yes;Yes;Yes;Yes;;Yes;October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Afternoon, October 21 - Morning;;Yes;Yes;Yes;Yes;Yes;Yes;3;Friend;;;Yes
sub_0032;resp_0032;2026-08-27T01:00;Louis;Vermeulen;https://www.linkedin.com/in/louis-vermeulen-32;+32472436347;louis.vermeulen32@example.com;None;L;Jules Vandamme;+32485031966;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Technical Support, Guest Flow & Stewarding, Runner & Flexible Support;;Yes;Yes;;;Yes;;October 22 - Morning (Breakdown), October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 20 - Morning (Hackathon or Setup);Yes;;Yes;;Yes;Yes;;No preference;Friend;;;Yes
sub_0033;resp_0033;2026-08-27T06:00;Louise;De Smet;https://www.linkedin.com/in/louise-de-smet-33;+32476902401;louise.desmet33@example.com;Vegan;M;Victor Wouters;+32484867786;I would like to help make the event run smoothly and meet new people.;No;;;Yes;Ekonomika;Runner & Flexible Support, Technical Support, Guest Flow & Stewarding;;Yes;Yes;;;Yes;;October 21 - Afternoon, October 21 - Evening, October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 21 - Morning;;Yes;Yes;Yes;Yes;;Yes;3;Friend;;;Yes
sub_0034;resp_0034;2026-08-27T11:00;Maxime;Martens;https://www.linkedin.com/in/maxime-martens-34;+32475970190;maxime.martens34@example.com;None;M;Lucas De Smet;+32481237370;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Technical Support, Stage & Session Support, Food & Drinks, Guest Flow & Stewarding, Info & Welcome, Setup & Logistics;Yes;Yes;Yes;Yes;Yes;Yes;Yes;October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown), October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 20 - Morning (Hackathon or Setup);Yes;;Yes;;Yes;Yes;Yes;1;Friend;;;Yes
sub_0035;resp_0035;2026-08-27T16:00;Mathias;De Smet;https://www.linkedin.com/in/mathias-de-smet-35;+32471861958;mathias.desmet35@example.com;Vegetarian;XL;Louis Jacobs;+32482096280;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Technical Support, Runner & Flexible Support, Info & Welcome, Setup & Logistics;Yes;Yes;;Yes;;Yes;;October 22 - Morning (Breakdown), October 21 - Afternoon, October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 20 - Afternoon (Hackathon or Setup);;Yes;Yes;Yes;Yes;Yes;Yes;2;University;;;Yes
sub_0036;resp_0036;2026-08-27T21:00;Nina;Janssens;https://www.linkedin.com/in/nina-janssens-36;+32478427625;nina.janssens36@example.com;Vegetarian;XL;Laura Van Damme;+32486123430;I would like to help make the event run smoothly and meet new people.;Yes;;;Yes;Student Ghentrepreneur;Stage & Session Support, Food & Drinks;;;;;Yes;;Yes;October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 20 - Evening (Hackathon or Setup), October 21 - Evening, October 21 - Afternoon, October 22 - Morning (Breakdown), October 20 - Afternoon (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;Previous volunteer;;;Yes
sub_0037;resp_0037;2026-08-28T02:00;Julie;Wouters;https://www.linkedin.com/in/julie-wouters-37;+32475886520;julie.wouters37@example.com;;M;Victor De Smet;+32488617381;I would like to help make the event run smoothly and meet new people.;No;;;Yes;Student Ghentrepreneur;Technical Support, Stage & Session Support, Runner & Flexible Support, Setup & Logistics;Yes;Yes;;;;Yes;Yes;October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;;;Yes;Yes;;Yes;3;Previous volunteer;;;Yes
sub_0038;resp_0038;2026-08-28T07:00;Laura;Claes;https://www.linkedin.com/in/laura-claes-38;+32478367772;laura.claes38@example.com;;M;Sophie De Smet;+32487752972;I volunteered at events before and would like to support the team.;Yes;;;Yes;VTK Gent;Food & Drinks, Technical Support, Runner & Flexible Support;;Yes;;;Yes;Yes;;October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);Yes;Yes;;Yes;Yes;Yes;Yes;No preference;Friend;;;Yes
sub_0039;resp_0039;2026-08-28T12:00;Thomas;Janssens;https://www.linkedin.com/in/thomas-janssens-39;+32475521644;thomas.janssens39@example.com;Gluten-free;S;Hanne Willems;+32488893693;I want to gain event experience and be part of the Tectonic community.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Guest Flow & Stewarding, Food & Drinks, Stage & Session Support, Setup & Logistics, Info & Welcome;Yes;;Yes;Yes;Yes;Yes;Yes;October 20 - Afternoon (Hackathon or Setup), October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup);;;;;Yes;Yes;Yes;2;University;;;Yes
sub_0040;resp_0040;2026-08-28T17:00;Jules;Vandamme;https://www.linkedin.com/in/jules-vandamme-40;+32478630712;jules.vandamme40@example.com;;M;Lotte Vermeulen;+32482944841;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Guest Flow & Stewarding, Stage & Session Support, Runner & Flexible Support, Technical Support, Setup & Logistics, Food & Drinks;Yes;Yes;Yes;Yes;Yes;Yes;Yes;October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);;;Yes;Yes;;Yes;Yes;No preference;Tectonic website;;;Yes
sub_0041;resp_0041;2026-08-28T22:00;Liam;Claes;https://www.linkedin.com/in/liam-claes-41;+32479132114;liam.claes41@example.com;;S;Nina Baert;+32485014745;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;Student Ghentrepreneur;Food & Drinks, Info & Welcome, Runner & Flexible Support, Setup & Logistics;Yes;;;Yes;Yes;Yes;;October 22 - Morning (Breakdown), October 21 - Morning, October 21 - Afternoon;;Yes;Yes;;Yes;;;1;University;;;Yes
sub_0042;resp_0042;2026-08-29T03:00;Jules;Maes;https://www.linkedin.com/in/jules-maes-42;+32478922533;jules.maes42@example.com;None;M;Mathias Mertens;+32487435505;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;Student Ghentrepreneur;Stage & Session Support, Setup & Logistics, Info & Welcome;Yes;;;Yes;;;Yes;October 20 - Afternoon (Hackathon or Setup), October 21 - Morning, October 21 - Evening, October 21 - Afternoon, October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;Student association;;;Yes
